
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Episode: 117/1000 | Episode reward:    -7.17 | Episode steps: 1001 | Average reward:    -7.98 | Step Count: 117117 | Episode Q0:    -2.48
Episode: 118/1000 | Episode reward:   -14.59 | Episode steps: 1001 | Average reward:    -9.10 | Step Count: 118118 | Episode Q0:    -2.47
Episode: 119/1000 | Episode reward:   -34.84 | Episode steps: 1001 | Average reward:   -14.35 | Step Count: 119119 | Episode Q0:    -2.46
Episode: 120/1000 | Episode reward:   -59.02 | Episode steps: 1001 | Average reward:   -24.55 | Step Count: 120120 | Episode Q0:    -2.46
Episode: 121/1000 | Episode reward:   -18.74 | Episode steps: 1001 | Average reward:   -26.87 | Step Count: 121121 | Episode Q0:    -2.46
Episode: 122/1000 | Episode reward:   -14.18 | Episode steps: 1001 | Average reward:   -28.27 | Step Count: 122122 | Episode Q0:    -2.46
Episode: 123/1000 | Episode reward:   -13.69 | Episode steps: 1001 | Average reward:   -28.09 | Step Count: 123123 | Episode Q0:    -2.44
Episode: 124/1000 | Episode reward:   -13.26 | Episode steps: 1001 | Average reward:   -23.78 | Step Count: 124124 | Episode Q0:    -2.45
Episode: 125/1000 | Episode reward:   -13.57 | Episode steps: 1001 | Average reward:   -14.69 | Step Count: 125125 | Episode Q0:    -2.45
Episode: 126/1000 | Episode reward:   -14.30 | Episode steps: 1001 | Average reward:   -13.80 | Step Count: 126126 | Episode Q0:    -2.45
Episode: 127/1000 | Episode reward:   -15.37 | Episode steps: 1001 | Average reward:   -14.04 | Step Count: 127127 | Episode Q0:    -2.46
Episode: 128/1000 | Episode reward:   -17.14 | Episode steps: 1001 | Average reward:   -14.73 | Step Count: 128128 | Episode Q0:    -2.45
Episode: 129/1000 | Episode reward:   -18.10 | Episode steps: 1001 | Average reward:   -15.69 | Step Count: 129129 | Episode Q0:    -2.44
Episode: 130/1000 | Episode reward:   -29.21 | Episode steps: 1001 | Average reward:   -18.82 | Step Count: 130130 | Episode Q0:    -2.44
Episode: 131/1000 | Episode reward:   -72.19 | Episode steps: 1001 | Average reward:   -30.40 | Step Count: 131131 | Episode Q0:    -2.45
Episode: 132/1000 | Episode reward:   -19.00 | Episode steps: 1001 | Average reward:   -31.13 | Step Count: 132132 | Episode Q0:    -2.44
Episode: 133/1000 | Episode reward:   -12.28 | Episode steps: 1001 | Average reward:   -30.16 | Step Count: 133133 | Episode Q0:    -2.44
Episode: 134/1000 | Episode reward:   -10.52 | Episode steps: 1001 | Average reward:   -28.64 | Step Count: 134134 | Episode Q0:    -2.44
Episode: 135/1000 | Episode reward:    -9.58 | Episode steps: 1001 | Average reward:   -24.71 | Step Count: 135135 | Episode Q0:    -2.44
Episode: 136/1000 | Episode reward:    -8.89 | Episode steps: 1001 | Average reward:   -12.05 | Step Count: 136136 | Episode Q0:    -2.45
Episode: 137/1000 | Episode reward:    -8.02 | Episode steps: 1001 | Average reward:    -9.86 | Step Count: 137137 | Episode Q0:    -2.45
Episode: 138/1000 | Episode reward:    -7.90 | Episode steps: 1001 | Average reward:    -8.98 | Step Count: 138138 | Episode Q0:    -2.42
Episode: 139/1000 | Episode reward:    -7.28 | Episode steps: 1001 | Average reward:    -8.33 | Step Count: 139139 | Episode Q0:    -2.45
Episode: 140/1000 | Episode reward:    -6.87 | Episode steps: 1001 | Average reward:    -7.79 | Step Count: 140140 | Episode Q0:    -2.43
Episode: 141/1000 | Episode reward:   -13.77 | Episode steps: 1001 | Average reward:    -8.77 | Step Count: 141141 | Episode Q0:    -2.43
Episode: 142/1000 | Episode reward:   -36.09 | Episode steps: 1001 | Average reward:   -14.38 | Step Count: 142142 | Episode Q0:    -2.43
Episode: 143/1000 | Episode reward:   -60.26 | Episode steps: 1001 | Average reward:   -24.85 | Step Count: 143143 | Episode Q0:    -2.43
Episode: 144/1000 | Episode reward:   -20.63 | Episode steps: 1001 | Average reward:   -27.52 | Step Count: 144144 | Episode Q0:    -2.43
Episode: 145/1000 | Episode reward:   -15.06 | Episode steps: 1001 | Average reward:   -29.16 | Step Count: 145145 | Episode Q0:    -2.43
Episode: 146/1000 | Episode reward:   -13.90 | Episode steps: 1001 | Average reward:   -29.19 | Step Count: 146146 | Episode Q0:    -2.42
Episode: 147/1000 | Episode reward:   -13.74 | Episode steps: 1001 | Average reward:   -24.72 | Step Count: 147147 | Episode Q0:    -2.42
Episode: 148/1000 | Episode reward:   -15.63 | Episode steps: 1001 | Average reward:   -15.79 | Step Count: 148148 | Episode Q0:    -2.41
Episode: 149/1000 | Episode reward:   -16.18 | Episode steps: 1001 | Average reward:   -14.90 | Step Count: 149149 | Episode Q0:    -2.43
Episode: 150/1000 | Episode reward:   -17.67 | Episode steps: 1001 | Average reward:   -15.42 | Step Count: 150150 | Episode Q0:    -2.42
Episode: 151/1000 | Episode reward:   -21.09 | Episode steps: 1001 | Average reward:   -16.86 | Step Count: 151151 | Episode Q0:    -2.42
Episode: 152/1000 | Episode reward:   -24.77 | Episode steps: 1001 | Average reward:   -19.07 | Step Count: 152152 | Episode Q0:    -2.42
Episode: 153/1000 | Episode reward:   -40.07 | Episode steps: 1001 | Average reward:   -23.96 | Step Count: 153153 | Episode Q0:    -2.43
Episode: 154/1000 | Episode reward:   -71.95 | Episode steps: 1001 | Average reward:   -35.11 | Step Count: 154154 | Episode Q0:    -2.42
Episode: 155/1000 | Episode reward:   -21.73 | Episode steps: 1001 | Average reward:   -35.92 | Step Count: 155155 | Episode Q0:    -2.42
Episode: 156/1000 | Episode reward:   -16.62 | Episode steps: 1001 | Average reward:   -35.03 | Step Count: 156156 | Episode Q0:    -2.43
Episode: 157/1000 | Episode reward:   -13.71 | Episode steps: 1001 | Average reward:   -32.82 | Step Count: 157157 | Episode Q0:    -2.42
Episode: 158/1000 | Episode reward:   -12.38 | Episode steps: 1001 | Average reward:   -27.28 | Step Count: 158158 | Episode Q0:    -2.43
Episode: 159/1000 | Episode reward:   -11.70 | Episode steps: 1001 | Average reward:   -15.23 | Step Count: 159159 | Episode Q0:    -2.44
Episode: 160/1000 | Episode reward:   -10.25 | Episode steps: 1001 | Average reward:   -12.93 | Step Count: 160160 | Episode Q0:    -2.43
Episode: 161/1000 | Episode reward:    -9.16 | Episode steps: 1001 | Average reward:   -11.44 | Step Count: 161161 | Episode Q0:    -2.43
Episode: 162/1000 | Episode reward:    -8.49 | Episode steps: 1001 | Average reward:   -10.40 | Step Count: 162162 | Episode Q0:    -2.43
Episode: 163/1000 | Episode reward:    -8.55 | Episode steps: 1001 | Average reward:    -9.63 | Step Count: 163163 | Episode Q0:    -2.43
Episode: 164/1000 | Episode reward:   -25.87 | Episode steps: 1001 | Average reward:   -12.46 | Step Count: 164164 | Episode Q0:    -2.43
Episode: 165/1000 | Episode reward:   -64.91 | Episode steps: 1001 | Average reward:   -23.40 | Step Count: 165165 | Episode Q0:    -2.42
Episode: 166/1000 | Episode reward:   -34.64 | Episode steps: 1001 | Average reward:   -28.49 | Step Count: 166166 | Episode Q0:    -2.42
Episode: 167/1000 | Episode reward:   -18.62 | Episode steps: 1001 | Average reward:   -30.52 | Step Count: 167167 | Episode Q0:    -2.42
Episode: 168/1000 | Episode reward:   -16.68 | Episode steps: 1001 | Average reward:   -32.14 | Step Count: 168168 | Episode Q0:    -2.41
Episode: 169/1000 | Episode reward:   -16.18 | Episode steps: 1001 | Average reward:   -30.21 | Step Count: 169169 | Episode Q0:    -2.42
Episode: 170/1000 | Episode reward:   -16.90 | Episode steps: 1001 | Average reward:   -20.60 | Step Count: 170170 | Episode Q0:    -2.41
Episode: 171/1000 | Episode reward:   -19.23 | Episode steps: 1001 | Average reward:   -17.52 | Step Count: 171171 | Episode Q0:    -2.41
Episode: 172/1000 | Episode reward:   -21.59 | Episode steps: 1001 | Average reward:   -18.12 | Step Count: 172172 | Episode Q0:    -2.42
Episode: 173/1000 | Episode reward:   -27.52 | Episode steps: 1001 | Average reward:   -20.28 | Step Count: 173173 | Episode Q0:    -2.42
Episode: 174/1000 | Episode reward:   -38.22 | Episode steps: 1001 | Average reward:   -24.69 | Step Count: 174174 | Episode Q0:    -2.42
Episode: 175/1000 | Episode reward:   -54.46 | Episode steps: 1001 | Average reward:   -32.20 | Step Count: 175175 | Episode Q0:    -2.41
Episode: 176/1000 | Episode reward:   -80.18 | Episode steps: 1001 | Average reward:   -44.40 | Step Count: 176176 | Episode Q0:    -2.43
