
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Episode:  66/1000 | Episode reward:   -28.27 | Episode steps: 1001 | Average reward:   -33.27 | Step Count: 66066 | Episode Q0:    -4.04
Episode:  67/1000 | Episode reward:   -33.92 | Episode steps: 1001 | Average reward:   -31.40 | Step Count: 67067 | Episode Q0:    -4.05
Episode:  68/1000 | Episode reward:   -44.00 | Episode steps: 1001 | Average reward:   -33.13 | Step Count: 68068 | Episode Q0:    -4.07
Episode:  69/1000 | Episode reward:   -61.53 | Episode steps: 1001 | Average reward:   -39.39 | Step Count: 69069 | Episode Q0:    -4.04
Episode:  70/1000 | Episode reward:   -82.59 | Episode steps: 1001 | Average reward:   -50.06 | Step Count: 70070 | Episode Q0:    -4.04
Episode:  71/1000 | Episode reward:   -89.60 | Episode steps: 1001 | Average reward:   -62.33 | Step Count: 71071 | Episode Q0:    -4.05
Episode:  72/1000 | Episode reward:   -85.54 | Episode steps: 1001 | Average reward:   -72.65 | Step Count: 72072 | Episode Q0:    -4.04
Episode:  73/1000 | Episode reward:   -79.93 | Episode steps: 1001 | Average reward:   -79.84 | Step Count: 73073 | Episode Q0:    -4.05
Episode:  74/1000 | Episode reward:   -78.65 | Episode steps: 1001 | Average reward:   -83.26 | Step Count: 74074 | Episode Q0:    -4.08
Episode:  75/1000 | Episode reward:   -77.64 | Episode steps: 1001 | Average reward:   -82.27 | Step Count: 75075 | Episode Q0:    -4.09
Episode:  76/1000 | Episode reward:   -87.50 | Episode steps: 1001 | Average reward:   -81.85 | Step Count: 76076 | Episode Q0:    -4.10
Episode:  77/1000 | Episode reward:  -104.17 | Episode steps: 1001 | Average reward:   -85.58 | Step Count: 77077 | Episode Q0:    -4.11
Episode:  78/1000 | Episode reward:  -108.61 | Episode steps: 1001 | Average reward:   -91.31 | Step Count: 78078 | Episode Q0:    -4.16
Episode:  79/1000 | Episode reward:  -105.24 | Episode steps: 1001 | Average reward:   -96.63 | Step Count: 79079 | Episode Q0:    -4.18
Episode:  80/1000 | Episode reward:  -113.98 | Episode steps: 1001 | Average reward:  -103.90 | Step Count: 80080 | Episode Q0:    -4.20
Episode:  81/1000 | Episode reward:   -76.91 | Episode steps: 1001 | Average reward:  -101.78 | Step Count: 81081 | Episode Q0:    -4.21
Episode:  82/1000 | Episode reward:   -68.27 | Episode steps: 1001 | Average reward:   -94.60 | Step Count: 82082 | Episode Q0:    -4.25
Episode:  83/1000 | Episode reward:   -56.75 | Episode steps: 1001 | Average reward:   -84.23 | Step Count: 83083 | Episode Q0:    -4.27
Episode:  84/1000 | Episode reward:   -46.64 | Episode steps: 1001 | Average reward:   -72.51 | Step Count: 84084 | Episode Q0:    -4.28
Episode:  85/1000 | Episode reward:   -33.93 | Episode steps: 1001 | Average reward:   -56.50 | Step Count: 85085 | Episode Q0:    -4.29
Episode:  86/1000 | Episode reward:   -30.49 | Episode steps: 1001 | Average reward:   -47.21 | Step Count: 86086 | Episode Q0:    -4.33
Episode:  87/1000 | Episode reward:   -28.04 | Episode steps: 1001 | Average reward:   -39.17 | Step Count: 87087 | Episode Q0:    -4.35
Episode:  88/1000 | Episode reward:   -28.14 | Episode steps: 1001 | Average reward:   -33.45 | Step Count: 88088 | Episode Q0:    -4.35
Episode:  89/1000 | Episode reward:   -27.17 | Episode steps: 1001 | Average reward:   -29.55 | Step Count: 89089 | Episode Q0:    -4.37
Episode:  90/1000 | Episode reward:   -29.12 | Episode steps: 1001 | Average reward:   -28.59 | Step Count: 90090 | Episode Q0:    -4.36
Episode:  91/1000 | Episode reward:   -35.74 | Episode steps: 1001 | Average reward:   -29.64 | Step Count: 91091 | Episode Q0:    -4.36
Episode:  92/1000 | Episode reward:   -42.52 | Episode steps: 1001 | Average reward:   -32.54 | Step Count: 92092 | Episode Q0:    -4.37
Episode:  93/1000 | Episode reward:   -50.48 | Episode steps: 1001 | Average reward:   -37.01 | Step Count: 93093 | Episode Q0:    -4.38
Episode:  94/1000 | Episode reward:   -61.87 | Episode steps: 1001 | Average reward:   -43.95 | Step Count: 94094 | Episode Q0:    -4.38
Episode:  95/1000 | Episode reward:   -63.41 | Episode steps: 1001 | Average reward:   -50.80 | Step Count: 95095 | Episode Q0:    -4.37
Episode:  96/1000 | Episode reward:   -66.95 | Episode steps: 1001 | Average reward:   -57.04 | Step Count: 96096 | Episode Q0:    -4.40
Episode:  97/1000 | Episode reward:   -69.77 | Episode steps: 1001 | Average reward:   -62.49 | Step Count: 97097 | Episode Q0:    -4.38
Episode:  98/1000 | Episode reward:   -78.35 | Episode steps: 1001 | Average reward:   -68.07 | Step Count: 98098 | Episode Q0:    -4.39
Episode:  99/1000 | Episode reward:   -88.27 | Episode steps: 1001 | Average reward:   -73.35 | Step Count: 99099 | Episode Q0:    -4.41
Episode: 100/1000 | Episode reward:   -85.54 | Episode steps: 1001 | Average reward:   -77.78 | Step Count: 100100 | Episode Q0:    -4.41
Episode: 101/1000 | Episode reward:   -70.45 | Episode steps: 1001 | Average reward:   -78.48 | Step Count: 101101 | Episode Q0:    -4.43
Episode: 102/1000 | Episode reward:   -67.65 | Episode steps: 1001 | Average reward:   -78.05 | Step Count: 102102 | Episode Q0:    -4.44
Episode: 103/1000 | Episode reward:   -78.90 | Episode steps: 1001 | Average reward:   -78.16 | Step Count: 103103 | Episode Q0:    -4.47
Episode: 104/1000 | Episode reward:   -85.63 | Episode steps: 1001 | Average reward:   -77.63 | Step Count: 104104 | Episode Q0:    -4.48
Episode: 105/1000 | Episode reward:   -85.47 | Episode steps: 1001 | Average reward:   -77.62 | Step Count: 105105 | Episode Q0:    -4.48
Episode: 106/1000 | Episode reward:   -82.20 | Episode steps: 1001 | Average reward:   -79.97 | Step Count: 106106 | Episode Q0:    -4.51
Episode: 107/1000 | Episode reward:   -89.30 | Episode steps: 1001 | Average reward:   -84.30 | Step Count: 107107 | Episode Q0:    -4.50
Episode: 108/1000 | Episode reward:   -73.09 | Episode steps: 1001 | Average reward:   -83.14 | Step Count: 108108 | Episode Q0:    -4.52
Episode: 109/1000 | Episode reward:   -75.49 | Episode steps: 1001 | Average reward:   -81.11 | Step Count: 109109 | Episode Q0:    -4.54
Episode: 110/1000 | Episode reward:   -65.35 | Episode steps: 1001 | Average reward:   -77.09 | Step Count: 110110 | Episode Q0:    -4.55
Episode: 111/1000 | Episode reward:   -53.47 | Episode steps: 1001 | Average reward:   -71.34 | Step Count: 111111 | Episode Q0:    -4.57
Episode: 112/1000 | Episode reward:   -43.16 | Episode steps: 1001 | Average reward:   -62.11 | Step Count: 112112 | Episode Q0:    -4.56
Episode: 113/1000 | Episode reward:   -38.43 | Episode steps: 1001 | Average reward:   -55.18 | Step Count: 113113 | Episode Q0:    -4.58
Episode: 114/1000 | Episode reward:   -38.20 | Episode steps: 1001 | Average reward:   -47.72 | Step Count: 114114 | Episode Q0:    -4.58
Episode: 115/1000 | Episode reward:   -34.31 | Episode steps: 1001 | Average reward:   -41.52 | Step Count: 115115 | Episode Q0:    -4.60
Episode: 116/1000 | Episode reward:   -31.07 | Episode steps: 1001 | Average reward:   -37.04 | Step Count: 116116 | Episode Q0:    -4.61
Episode: 117/1000 | Episode reward:   -32.82 | Episode steps: 1001 | Average reward:   -34.97 | Step Count: 117117 | Episode Q0:    -4.61
Episode: 118/1000 | Episode reward:   -37.91 | Episode steps: 1001 | Average reward:   -34.86 | Step Count: 118118 | Episode Q0:    -4.64
Episode: 119/1000 | Episode reward:   -41.97 | Episode steps: 1001 | Average reward:   -35.62 | Step Count: 119119 | Episode Q0:    -4.62
Episode: 120/1000 | Episode reward:   -48.76 | Episode steps: 1001 | Average reward:   -38.51 | Step Count: 120120 | Episode Q0:    -4.63
Episode: 121/1000 | Episode reward:   -60.27 | Episode steps: 1001 | Average reward:   -44.34 | Step Count: 121121 | Episode Q0:    -4.63
Episode: 122/1000 | Episode reward:   -63.63 | Episode steps: 1001 | Average reward:   -50.51 | Step Count: 122122 | Episode Q0:    -4.63
Episode: 123/1000 | Episode reward:   -66.31 | Episode steps: 1001 | Average reward:   -56.19 | Step Count: 123123 | Episode Q0:    -4.62
Episode: 124/1000 | Episode reward:   -73.78 | Episode steps: 1001 | Average reward:   -62.55 | Step Count: 124124 | Episode Q0:    -4.63
Episode: 125/1000 | Episode reward:   -84.08 | Episode steps: 1001 | Average reward:   -69.62 | Step Count: 125125 | Episode Q0:    -4.65
Episode: 126/1000 | Episode reward:   -68.52 | Episode steps: 1001 | Average reward:   -71.27 | Step Count: 126126 | Episode Q0:    -4.64
Episode: 127/1000 | Episode reward:   -58.78 | Episode steps: 1001 | Average reward:   -70.29 | Step Count: 127127 | Episode Q0:    -4.66
Episode: 128/1000 | Episode reward:   -64.77 | Episode steps: 1001 | Average reward:   -69.99 | Step Count: 128128 | Episode Q0:    -4.68
Episode: 129/1000 | Episode reward:   -71.95 | Episode steps: 1001 | Average reward:   -69.62 | Step Count: 129129 | Episode Q0:    -4.68
Episode: 130/1000 | Episode reward:   -85.89 | Episode steps: 1001 | Average reward:   -69.98 | Step Count: 130130 | Episode Q0:    -4.68
Episode: 131/1000 | Episode reward:   -72.97 | Episode steps: 1001 | Average reward:   -70.87 | Step Count: 131131 | Episode Q0:    -4.70
Episode: 132/1000 | Episode reward:   -70.67 | Episode steps: 1001 | Average reward:   -73.25 | Step Count: 132132 | Episode Q0:    -4.71
Episode: 133/1000 | Episode reward:   -71.35 | Episode steps: 1001 | Average reward:   -74.57 | Step Count: 133133 | Episode Q0:    -4.71
Episode: 134/1000 | Episode reward:   -80.20 | Episode steps: 1001 | Average reward:   -76.22 | Step Count: 134134 | Episode Q0:    -4.73
Episode: 135/1000 | Episode reward:   -81.77 | Episode steps: 1001 | Average reward:   -75.39 | Step Count: 135135 | Episode Q0:    -4.74
Episode: 136/1000 | Episode reward:   -78.04 | Episode steps: 1001 | Average reward:   -76.41 | Step Count: 136136 | Episode Q0:    -4.75
Episode: 137/1000 | Episode reward:   -83.04 | Episode steps: 1001 | Average reward:   -78.88 | Step Count: 137137 | Episode Q0:    -4.77
Episode: 138/1000 | Episode reward:   -88.18 | Episode steps: 1001 | Average reward:   -82.25 | Step Count: 138138 | Episode Q0:    -4.77
Episode: 139/1000 | Episode reward:   -77.36 | Episode steps: 1001 | Average reward:   -81.68 | Step Count: 139139 | Episode Q0:    -4.79
Episode: 140/1000 | Episode reward:   -72.87 | Episode steps: 1001 | Average reward:   -79.90 | Step Count: 140140 | Episode Q0:    -4.80
Episode: 141/1000 | Episode reward:   -83.08 | Episode steps: 1001 | Average reward:   -80.90 | Step Count: 141141 | Episode Q0:    -4.81
Episode: 142/1000 | Episode reward:   -47.23 | Episode steps: 1001 | Average reward:   -73.74 | Step Count: 142142 | Episode Q0:    -4.81
Episode: 143/1000 | Episode reward:   -42.66 | Episode steps: 1001 | Average reward:   -64.64 | Step Count: 143143 | Episode Q0:    -4.84
Episode: 144/1000 | Episode reward:   -39.17 | Episode steps: 1001 | Average reward:   -57.00 | Step Count: 144144 | Episode Q0:    -4.83
Episode: 145/1000 | Episode reward:   -36.52 | Episode steps: 1001 | Average reward:   -49.73 | Step Count: 145145 | Episode Q0:    -4.87
Episode: 146/1000 | Episode reward:   -33.84 | Episode steps: 1001 | Average reward:   -39.88 | Step Count: 146146 | Episode Q0:    -4.87
Episode: 147/1000 | Episode reward:   -31.38 | Episode steps: 1001 | Average reward:   -36.71 | Step Count: 147147 | Episode Q0:    -4.88
Episode: 148/1000 | Episode reward:   -33.80 | Episode steps: 1001 | Average reward:   -34.94 | Step Count: 148148 | Episode Q0:    -4.87
Episode: 149/1000 | Episode reward:   -33.81 | Episode steps: 1001 | Average reward:   -33.87 | Step Count: 149149 | Episode Q0:    -4.91
Episode: 150/1000 | Episode reward:   -33.35 | Episode steps: 1001 | Average reward:   -33.24 | Step Count: 150150 | Episode Q0:    -4.89
Episode: 151/1000 | Episode reward:   -38.20 | Episode steps: 1001 | Average reward:   -34.11 | Step Count: 151151 | Episode Q0:    -4.89
Episode: 152/1000 | Episode reward:   -45.33 | Episode steps: 1001 | Average reward:   -36.90 | Step Count: 152152 | Episode Q0:    -4.87
Episode: 153/1000 | Episode reward:   -49.00 | Episode steps: 1001 | Average reward:   -39.94 | Step Count: 153153 | Episode Q0:    -4.91
Episode: 154/1000 | Episode reward:   -56.43 | Episode steps: 1001 | Average reward:   -44.46 | Step Count: 154154 | Episode Q0:    -4.90
Episode: 155/1000 | Episode reward:   -61.78 | Episode steps: 1001 | Average reward:   -50.15 | Step Count: 155155 | Episode Q0:    -4.89
Episode: 156/1000 | Episode reward:   -64.23 | Episode steps: 1001 | Average reward:   -55.35 | Step Count: 156156 | Episode Q0:    -4.88
Episode: 157/1000 | Episode reward:   -66.58 | Episode steps: 1001 | Average reward:   -59.60 | Step Count: 157157 | Episode Q0:    -4.87
Episode: 158/1000 | Episode reward:   -82.56 | Episode steps: 1001 | Average reward:   -66.31 | Step Count: 158158 | Episode Q0:    -4.88
Episode: 159/1000 | Episode reward:   -76.77 | Episode steps: 1001 | Average reward:   -70.38 | Step Count: 159159 | Episode Q0:    -4.90
Episode: 160/1000 | Episode reward:   -60.31 | Episode steps: 1001 | Average reward:   -70.09 | Step Count: 160160 | Episode Q0:    -4.90
Episode: 161/1000 | Episode reward:   -63.57 | Episode steps: 1001 | Average reward:   -69.96 | Step Count: 161161 | Episode Q0:    -4.93
