
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Episode:  80/1000 | Episode reward:   756.79 | Episode steps: 1001 | Average reward:   756.88 | Step Count: 80080 | Episode Q0:     2.50
Episode:  81/1000 | Episode reward:   756.68 | Episode steps: 1001 | Average reward:   756.76 | Step Count: 81081 | Episode Q0:     1.68
Episode:  82/1000 | Episode reward:   756.47 | Episode steps: 1001 | Average reward:   756.70 | Step Count: 82082 | Episode Q0:     1.12
Episode:  83/1000 | Episode reward:   756.42 | Episode steps: 1001 | Average reward:   756.63 | Step Count: 83083 | Episode Q0:     3.39
Episode:  84/1000 | Episode reward:   757.09 | Episode steps: 1001 | Average reward:   756.69 | Step Count: 84084 | Episode Q0:     1.90
Episode:  85/1000 | Episode reward:   756.65 | Episode steps: 1001 | Average reward:   756.66 | Step Count: 85085 | Episode Q0:     2.00
Episode:  86/1000 | Episode reward:   756.49 | Episode steps: 1001 | Average reward:   756.62 | Step Count: 86086 | Episode Q0:     1.96
Episode:  87/1000 | Episode reward:   756.84 | Episode steps: 1001 | Average reward:   756.70 | Step Count: 87087 | Episode Q0:     1.59
Episode:  88/1000 | Episode reward:   756.36 | Episode steps: 1001 | Average reward:   756.69 | Step Count: 88088 | Episode Q0:     2.35
Episode:  89/1000 | Episode reward:   756.89 | Episode steps: 1001 | Average reward:   756.65 | Step Count: 89089 | Episode Q0:     1.39
Episode:  90/1000 | Episode reward:   757.02 | Episode steps: 1001 | Average reward:   756.72 | Step Count: 90090 | Episode Q0:     0.79
Episode:  91/1000 | Episode reward:   757.37 | Episode steps: 1001 | Average reward:   756.90 | Step Count: 91091 | Episode Q0:     0.64
Episode:  92/1000 | Episode reward:   756.85 | Episode steps: 1001 | Average reward:   756.90 | Step Count: 92092 | Episode Q0:     1.26
Episode:  93/1000 | Episode reward:   757.33 | Episode steps: 1001 | Average reward:   757.09 | Step Count: 93093 | Episode Q0:     2.52
Episode:  94/1000 | Episode reward:   756.30 | Episode steps: 1001 | Average reward:   756.97 | Step Count: 94094 | Episode Q0:     1.75
Episode:  95/1000 | Episode reward:   756.62 | Episode steps: 1001 | Average reward:   756.89 | Step Count: 95095 | Episode Q0:     1.59
Episode:  96/1000 | Episode reward:   756.53 | Episode steps: 1001 | Average reward:   756.73 | Step Count: 96096 | Episode Q0:     2.16
Episode:  97/1000 | Episode reward:   756.49 | Episode steps: 1001 | Average reward:   756.65 | Step Count: 97097 | Episode Q0:     1.00
Episode:  98/1000 | Episode reward:   756.76 | Episode steps: 1001 | Average reward:   756.54 | Step Count: 98098 | Episode Q0:     0.90
Episode:  99/1000 | Episode reward:   756.55 | Episode steps: 1001 | Average reward:   756.59 | Step Count: 99099 | Episode Q0:     0.81
Episode: 100/1000 | Episode reward:   756.04 | Episode steps: 1001 | Average reward:   756.47 | Step Count: 100100 | Episode Q0:     1.46
Episode: 101/1000 | Episode reward:   756.69 | Episode steps: 1001 | Average reward:   756.51 | Step Count: 101101 | Episode Q0:     0.75
Episode: 102/1000 | Episode reward:   757.18 | Episode steps: 1001 | Average reward:   756.64 | Step Count: 102102 | Episode Q0:     0.77
Episode: 103/1000 | Episode reward:   756.15 | Episode steps: 1001 | Average reward:   756.52 | Step Count: 103103 | Episode Q0:     0.54
Episode: 104/1000 | Episode reward:   757.36 | Episode steps: 1001 | Average reward:   756.68 | Step Count: 104104 | Episode Q0:     0.32
Episode: 105/1000 | Episode reward:   756.67 | Episode steps: 1001 | Average reward:   756.81 | Step Count: 105105 | Episode Q0:     0.81
