
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward: -1429.21 | Episode steps: 1001 | Average reward: -1429.21 | Step Count: 1001 | Episode Q0:    -0.95
Episode:  52/1000 | Episode reward:   -14.19 | Episode steps: 1001 | Average reward:   -13.99 | Step Count: 52052 | Episode Q0:    -3.10
Episode:  53/1000 | Episode reward:   -14.58 | Episode steps: 1001 | Average reward:   -13.98 | Step Count: 53053 | Episode Q0:    -3.12
Episode:  54/1000 | Episode reward:   -13.80 | Episode steps: 1001 | Average reward:   -14.16 | Step Count: 54054 | Episode Q0:    -3.14
Episode:  55/1000 | Episode reward:   -15.53 | Episode steps: 1001 | Average reward:   -14.53 | Step Count: 55055 | Episode Q0:    -3.07
Episode:  56/1000 | Episode reward:   -15.68 | Episode steps: 1001 | Average reward:   -14.75 | Step Count: 56056 | Episode Q0:    -3.08
Episode:  57/1000 | Episode reward:   -17.37 | Episode steps: 1001 | Average reward:   -15.39 | Step Count: 57057 | Episode Q0:    -3.05
Episode:  58/1000 | Episode reward:   -18.15 | Episode steps: 1001 | Average reward:   -16.10 | Step Count: 58058 | Episode Q0:    -3.05
Episode:  59/1000 | Episode reward:   -18.26 | Episode steps: 1001 | Average reward:   -17.00 | Step Count: 59059 | Episode Q0:    -3.06
Episode:  60/1000 | Episode reward:   -18.96 | Episode steps: 1001 | Average reward:   -17.68 | Step Count: 60060 | Episode Q0:    -3.05
Episode:  61/1000 | Episode reward:   -20.38 | Episode steps: 1001 | Average reward:   -18.62 | Step Count: 61061 | Episode Q0:    -3.05
Episode:  62/1000 | Episode reward:   -53.28 | Episode steps: 1001 | Average reward:   -25.80 | Step Count: 62062 | Episode Q0:    -3.02
Episode:  63/1000 | Episode reward:   -15.42 | Episode steps: 1001 | Average reward:   -25.26 | Step Count: 63063 | Episode Q0:    -3.00
Episode:  64/1000 | Episode reward:   -15.00 | Episode steps: 1001 | Average reward:   -24.61 | Step Count: 64064 | Episode Q0:    -3.01
Episode:  65/1000 | Episode reward:   -15.42 | Episode steps: 1001 | Average reward:   -23.90 | Step Count: 65065 | Episode Q0:    -3.03
Episode:  66/1000 | Episode reward:   -15.07 | Episode steps: 1001 | Average reward:   -22.84 | Step Count: 66066 | Episode Q0:    -3.01
Episode:  67/1000 | Episode reward:   -15.75 | Episode steps: 1001 | Average reward:   -15.33 | Step Count: 67067 | Episode Q0:    -3.00
Episode:  68/1000 | Episode reward:   -15.32 | Episode steps: 1001 | Average reward:   -15.32 | Step Count: 68068 | Episode Q0:    -3.06
Episode:  69/1000 | Episode reward:   -13.55 | Episode steps: 1001 | Average reward:   -15.03 | Step Count: 69069 | Episode Q0:    -3.02
Episode:  70/1000 | Episode reward:   -13.60 | Episode steps: 1001 | Average reward:   -14.66 | Step Count: 70070 | Episode Q0:    -3.02
Episode:  71/1000 | Episode reward:   -14.27 | Episode steps: 1001 | Average reward:   -14.50 | Step Count: 71071 | Episode Q0:    -3.01
Episode:  72/1000 | Episode reward:   -14.64 | Episode steps: 1001 | Average reward:   -14.28 | Step Count: 72072 | Episode Q0:    -3.05
Episode:  73/1000 | Episode reward:   -15.40 | Episode steps: 1001 | Average reward:   -14.29 | Step Count: 73073 | Episode Q0:    -3.07
Episode:  74/1000 | Episode reward:   -17.23 | Episode steps: 1001 | Average reward:   -15.03 | Step Count: 74074 | Episode Q0:    -3.09
Episode:  75/1000 | Episode reward:   -17.40 | Episode steps: 1001 | Average reward:   -15.79 | Step Count: 75075 | Episode Q0:    -3.07
Episode:  76/1000 | Episode reward:   -57.98 | Episode steps: 1001 | Average reward:   -24.53 | Step Count: 76076 | Episode Q0:    -3.06
Episode:  77/1000 | Episode reward:   -15.35 | Episode steps: 1001 | Average reward:   -24.67 | Step Count: 77077 | Episode Q0:    -3.06
Episode:  78/1000 | Episode reward:   -14.62 | Episode steps: 1001 | Average reward:   -24.51 | Step Count: 78078 | Episode Q0:    -3.09
Episode:  79/1000 | Episode reward:   -14.37 | Episode steps: 1001 | Average reward:   -23.94 | Step Count: 79079 | Episode Q0:    -3.08
Episode:  80/1000 | Episode reward:   -15.26 | Episode steps: 1001 | Average reward:   -23.52 | Step Count: 80080 | Episode Q0:    -3.07
Episode:  81/1000 | Episode reward:   -13.71 | Episode steps: 1001 | Average reward:   -14.66 | Step Count: 81081 | Episode Q0:    -3.11
Episode:  82/1000 | Episode reward:   -16.07 | Episode steps: 1001 | Average reward:   -14.80 | Step Count: 82082 | Episode Q0:    -3.10
Episode:  83/1000 | Episode reward:   -16.15 | Episode steps: 1001 | Average reward:   -15.11 | Step Count: 83083 | Episode Q0:    -3.10
Episode:  84/1000 | Episode reward:   -16.39 | Episode steps: 1001 | Average reward:   -15.52 | Step Count: 84084 | Episode Q0:    -3.08
Episode:  85/1000 | Episode reward:   -13.42 | Episode steps: 1001 | Average reward:   -15.15 | Step Count: 85085 | Episode Q0:    -3.11
Episode:  86/1000 | Episode reward:   -15.78 | Episode steps: 1001 | Average reward:   -15.56 | Step Count: 86086 | Episode Q0:    -3.12
Episode:  87/1000 | Episode reward:   -16.26 | Episode steps: 1001 | Average reward:   -15.60 | Step Count: 87087 | Episode Q0:    -3.11
Episode:  88/1000 | Episode reward:   -17.05 | Episode steps: 1001 | Average reward:   -15.78 | Step Count: 88088 | Episode Q0:    -3.09
